ssgrp_nom,meal_name,test_name,test_value,meal_value
plats composés,Viande en sauce (aliment moyen),Phosphore P,-45,142
plats composés,Poulet au curry et au lait de coco,Phosphore P,-45,110
plats composés,"Meloukhia, plat à base de boeuf et corete, fait maison",Phosphore P,-45,88
plats composés,"Palette à la diable, préemballée",Phosphore P,-45,-
plats composés,"Langue de boeuf sauce madère, préemballée",Phosphore P,-45,-
plats composés,"Porc au caramel, préemballé",Phosphore P,-45,94
plats composés,"Boulettes au boeuf, à la sauce tomate, préemballées",Phosphore P,-45,-
plats composés,"Paupiette de veau, préemballée,  cuite au four",Phosphore P,-45,180
plats composés,"Carpaccio de boeuf, avec marinade",Phosphore P,-45,187
plats composés,Yakitori (brochettes japonaises grillées en sauce),Phosphore P,-45,220
plats composés,"Brochette de boeuf, cuite",Phosphore P,-45,200
plats composés,"Brochette de volaille, cuite",Phosphore P,-45,230
plats composés,"Hachis parmentier à la viande, préemballé",Phosphore P,-45,"45,5"
plats composés,Couscous au mouton,Phosphore P,-45,"95,4"
plats composés,"Couscous à la viande ou au poulet, préemballé, allégé",Phosphore P,-45,88
plats composés,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",Phosphore P,-45,88
plats composés,"Couscous royal (avec plusieurs viandes), préemballé",Phosphore P,-45,"72,3"
plats composés,Couscous au poulet,Phosphore P,-45,69
plats composés,"Couscous à la viande, préemballé",Phosphore P,-45,-
plats composés,"Parmentier de canard, préemballé",Phosphore P,-45,-
plats composés,"Parmentier de canard, préemballé, cuit",Phosphore P,-45,74
plats composés,"Cassoulet, appertisé",Phosphore P,-45,107
plats composés,"Choucroute garnie, préemballée",Phosphore P,-45,"60,6"
plats composés,"Petit salé ou saucisse aux lentilles, préemballé",Phosphore P,-45,145
plats composés,"Pot-au-feu, préemballé",Phosphore P,-45,-
plats composés,Boeuf aux carottes,Phosphore P,-45,95
plats composés,Potée auvergnate (chou et porc),Phosphore P,-45,78
plats composés,"Cassoulet au porc, appertisé",Phosphore P,-45,-
plats composés,"Cassoulet au canard ou oie, appertisé",Phosphore P,-45,-
plats composés,Tomate farcie,Phosphore P,-45,62
plats composés,"Chou farci, préemballé",Phosphore P,-45,-
plats composés,"Chili con carne, préemballé",Phosphore P,-45,"78,5"
plats composés,Moussaka,Phosphore P,-45,150
plats composés,Navarin d'agneau aux légumes,Phosphore P,-45,107
plats composés,Tajine de mouton,Phosphore P,-45,102
plats composés,Osso buco,Phosphore P,-45,"97,4"
plats composés,"Poulet basquaise, préemballé",Phosphore P,-45,-
plats composés,"Tajine de poulet, préemballé",Phosphore P,-45,82
plats composés,"Chop suey (porc ou poulet), préemballé",Phosphore P,-45,-
plats composés,Légumes farcis (sauf tomate),Phosphore P,-45,"77,6"
plats composés,Moules marinières (oignons et vin blanc),Phosphore P,-45,-
plats composés,"Moules farcies (matière grasse, persillade…), préemballées, crues",Phosphore P,-45,180
plats composés,"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",Phosphore P,-45,"37,1"
plats composés,"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",Phosphore P,-45,120
plats composés,"Saumon à l'oseille, préemballé",Phosphore P,-45,-
plats composés,"Poisson blanc à la bordelaise, préemballé",Phosphore P,-45,162
plats composés,"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",Phosphore P,-45,99
plats composés,"Poisson blanc à la florentine (sauce aux épinards), préemballé",Phosphore P,-45,-
plats composés,"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",Phosphore P,-45,-
plats composés,"Poisson blanc à la sauce moutarde, préemballé",Phosphore P,-45,-
plats composés,"Poisson blanc à la parisienne (sauce aux champignons), préemballé",Phosphore P,-45,-
plats composés,"Poisson blanc à l'estragon, préemballé",Phosphore P,-45,-
plats composés,"Poisson blanc sauce oseille, préemballé",Phosphore P,-45,130
plats composés,"Saumon farci, préemballé",Phosphore P,-45,-
plats composés,Brochette de poisson,Phosphore P,-45,190
plats composés,Brochette de crevettes,Phosphore P,-45,153
plats composés,"Poisson en sauce, surgelé",Phosphore P,-45,164
plats composés,Poisson cuit (aliment moyen),Phosphore P,-45,228
plats composés,"Poisson blanc, cuit (aliment moyen)",Phosphore P,-45,192
plats composés,"Poisson blanc, de mer, cuit (aliment moyen)",Phosphore P,-45,189
plats composés,Paëlla,Phosphore P,-45,90
plats composés,Couscous au poisson,Phosphore P,-45,89
plats composés,"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",Phosphore P,-45,90
plats composés,Sushi ou Maki aux produits de la mer,Phosphore P,-45,81
plats composés,Terrine ou mousse de légumes,Phosphore P,-45,132
plats composés,Flan de légumes,Phosphore P,-45,100
plats composés,"Haricots blancs à la sauce tomate, appertisés",Phosphore P,-45,-
plats composés,"Piperade basquaise, préemballée",Phosphore P,-45,14
plats composés,"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",Phosphore P,-45,-
plats composés,"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",Phosphore P,-45,-
plats composés,"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",Phosphore P,-45,-
plats composés,"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",Phosphore P,-45,-
plats composés,"Ratatouille cuisinée, préemballée",Phosphore P,-45,22
plats composés,"Épinards à la crème, préemballés",Phosphore P,-45,-
plats composés,"Gratin d'aubergine, préemballé",Phosphore P,-45,-
plats composés,Gratin dauphinois,Phosphore P,-45,95
plats composés,Endive au jambon,Phosphore P,-45,146
plats composés,"Gratin de chou-fleur, préemballé",Phosphore P,-45,-
plats composés,Gratin de légumes,Phosphore P,-45,"65,5"
plats composés,"Riste d'aubergines (aubergines, tomates, oignons), préemballée",Phosphore P,-45,-
plats composés,"Palet ou galette de légumes, préfrit, surgelé",Phosphore P,-45,-
plats composés,"Palet ou galette de légumes, préfrit, surgelé, cuit",Phosphore P,-45,58
plats composés,"Choucroute, sans garniture, égouttée, cuite",Phosphore P,-45,15
plats composés,"Tomate à la provençale, fait maison",Phosphore P,-45,33
plats composés,Beignet de légumes,Phosphore P,-45,"68,1"
plats composés,"Falafel ou Boulette de pois-chiche et/ou fève, frite",Phosphore P,-45,180
plats composés,"Gratin de légumes en sauce blanche type béchamel, cuit",Phosphore P,-45,88
plats composés,"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",Phosphore P,-45,99
plats composés,"Blé dur précuit cuisiné, en sachet micro-ondable",Phosphore P,-45,-
plats composés,"Blé dur précuit, grains entiers, cuisiné, à poêler",Phosphore P,-45,-
plats composés,"Ravioli à la viande, sauce tomate, appertisé",Phosphore P,-45,"60,9"
