ssgrp_nom,Food name,Calcium Ca,Cuivre Cu,Fer Fe,Iode I,Manganèse Mn,Phosphore P,Potassium K,Sélénium Se,Sodium Na,Zinc Zn,Vitamine E,Vitamine C ,Vitamine B6 ,Vitamine B9 ,Vitamine B12 
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",69,"0,13","0,57",< 20,"0,23",93,130,< 20,420,"0,51","0,64","< 0,5","0,058","8,62","0,25"
plats composés,"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues","37,5",-,"0,72",-,-,-,-,-,512,-,-,-,-,-,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",29,"0,12","0,78",< 20,"0,26","85,5",95,< 35,206,"0,74","0,28","< 0,5","0,051","13,6","0,57"
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",141,< 1,1,-,< 1,165,112,-,458,< 1,"< 0,1",-,"< 0,05","11,4","0,6"
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",-,-,-,-,-,-,-,-,422,-,-,-,-,-,-
plats composés,Nouilles sautées/poêlées aux crevettes,22,"0,07","0,5",< 20,"0,19",54,100,< 20,334,"0,42","0,68","< 0,5","0,056",77,"0,21"
plats composés,"Riz blanc, avec poulet, préemballé, cuit",-,-,-,-,-,-,-,-,312,-,-,-,-,-,-
plats composés,"Riz blanc, avec légumes et viande, préemballé, cuit",-,-,-,-,-,-,-,-,338,-,-,-,-,-,-
plats composés,"Risotto, aux légumes, préemballé",-,-,-,-,-,-,-,-,304,-,-,-,-,-,-
plats composés,"Risotto, aux fruits de mer, préemballé",-,-,-,-,-,-,-,-,337,-,-,-,-,-,-
plats composés,"Risotto, aux fromages, préemballé",-,-,-,-,-,-,-,-,328,-,-,-,-,-,-
plats composés,"Raviolis aux légumes, sauce tomate, appertisés",15,"0,11","1,1",< 20,"0,15",32,280,< 20,300,"0,21","0,85","< 0,5","0,096","14,2","0,082"
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",50,"0,1","0,51",< 20,"0,2",75,76,< 20,195,"0,48","0,81","< 0,5","0,038","42,4","0,49"
plats composés,"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",-,-,-,-,-,-,-,-,310,-,-,-,-,-,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",-,-,-,-,-,-,-,-,339,-,-,-,-,-,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)","54,9","0,18","0,6","8,32","0,23","86,7","83,1","13,4",287,"0,64","0,36","0,23","0,047","14,2","0,36"
plats composés,"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",70,"0,15","1,1",20,"0,39",42,110,< 20,534,"0,36","2,48","< 0,5","0,042","19,9",-
plats composés,"Lasagnes ou cannellonis aux légumes, préemballés, cuits",76,"0,1","0,62",< 20,"0,21",85,240,< 20,238,"0,54","2,19","3,34","0,08",27,"0,2"
plats composés,"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",32,"0,03","0,18",< 20,"0,08",40,59,< 20,340,"0,23","1,14","0,67","0,047","39,5","0,18"
plats composés,"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",-,-,-,-,-,-,-,-,397,-,-,-,-,-,-
plats composés,"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",-,-,-,-,-,-,-,-,398,-,-,-,-,-,-
plats composés,"Fromage de chèvre pané à dorer, préemballé",100,"0,05","0,27",20,"0,13",160,120,< 20,507,"0,69","2,79","< 0,5","0,035","24,9","0,17"
plats composés,Soufflé au fromage,226,"0,04","0,6","14,8","0,03",196,138,"4,74",391,"1,37","0,6",1,"0,06","20,1","0,6"
plats composés,"Tartiflette, préemballée",74,"0,05","0,26",< 20,"0,06",95,270,< 20,300,"0,57","0,56","< 0,5","0,13","33,4","0,2"
plats composés,Gougère,302,"0,14","1,34","24,5","0,15",297,131,"8,24",453,"1,98","0,97",0,"0,11","37,4","0,98"
plats composés,"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",517,"0,3","0,3",10,"< 0,1",400,73,< 5,511,2,"0,35",0,"0,065",< 16,"0,83"
plats composés,Fromage pané au jambon,"84,9","< 0,1","0,8",13,"0,17",202,246,7,929,"1,4","4,1",< 1,"0,25",< 20,"0,61"
plats composés,Escalope végétale ou steak à base de soja,160,"0,28","2,3",< 20,"0,94",230,380,< 50,700,"1,3","0,2",2,"0,08","54,6","0,4"
plats composés,Tempeh,88,"0,46","1,7",< 20,"1,3",190,310,< 20,39,"1,3","1,17","< 0,5","0,091","38,5","0,019"
plats composés,"Nuggets de blé (sans soja), préemballé",22,"0,11","0,88",< 20,"0,41",82,340,< 20,269,"0,68","6,84","< 0,5","0,026","12,3",-
plats composés,"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",55,"0,26","1,7",< 20,"0,69",150,400,< 20,472,"0,97","3,88","4,36","0,056","23,1","0,034"
plats composés,"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",61,"0,25","2,4",< 20,"0,89",160,330,< 20,556,1,"3,76","< 0,5","0,042","31,5",-
plats composés,Pané soja et blé (ne convient pas aux véganes ou végétaliens),50,"0,15","2,2",< 20,"0,57",140,380,< 20,411,"0,71","5,22","< 0,5","0,048","26,6","0,057"
plats composés,"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",70,"0,32","2,5",< 20,1,170,350,< 20,452,"1,3","2,55","< 0,5","0,075","30,3",-
plats composés,"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",170,"0,19","1,3",< 20,"0,46",190,320,< 20,601,"1,3","3,35","< 0,5","0,045","31,5","0,33"
plats composés,"Raviolis au tofu, à la sauce tomate, préemballés",28,"0,13","0,68",< 20,"0,19",46,260,< 20,322,"0,35","1,71","< 0,5","0,033","7,76",-
plats composés,"Galette de céréales au fromage (sans soja), préemballé",93,"0,2","1,1",< 20,"0,8",350,340,< 20,398,"1,3","2,07","< 0,5","0,047","12,1","0,12"
plats composés,"Galette de céréales aux légumes (sans soja), préemballé",29,"0,21","1,3",< 20,"0,97",130,220,< 20,411,"1,1","2,97","< 0,5","0,054","20,7",-
plats composés,"Boulette végétale au soja et/ou blé, préemballée",73,"0,22","2,4",< 20,"0,85",170,620,< 20,605,1,"4,61","< 0,5","0,057","27,8","0,078"
plats composés,"Galette ou pavé aux lentilles, soja et légumes, préemballé",69,"0,28","1,9",< 20,"0,81",150,230,< 20,338,"1,3","2,14","< 0,5","0,052","45,3",-
plats composés,"Galette ou pavé au blé (seitan) et légumes, préemballé",42,"0,21","1,2",< 20,"0,74",100,150,< 20,398,1,"1,65","< 0,5","0,049","46,3",-
plats composés,"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",89,"0,34","3,3",< 20,"1,2",200,520,< 20,519,"1,3","2,67","< 0,5","0,052","39,5",-
plats composés,"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",72,"0,19","2,2",< 20,"0,84",150,400,< 20,454,"0,86","4,7","< 0,5","0,06",138,"0,05"
plats composés,"Galette ou pavé au soja et fromage, préemballé",250,"0,31","1,8",< 20,"0,88",280,230,< 20,427,"1,9","0,75","< 0,5","0,057","23,7","0,24"
plats composés,"Galette ou pavé au soja et légumes, préemballé",99,"0,26","2,1",< 20,"0,93",180,430,< 20,372,"1,2","2,29","< 0,5","0,043","38,1",-
plats composés,"Galette ou pavé au soja, fromage et légumes, préemballé",170,"0,33",2,< 20,"0,99",210,320,< 20,389,"1,5","1,74","< 0,5","0,055","23,3","0,08"
plats composés,"Haché végétal à base de soja, préemballé",67,"0,41","2,2",< 20,"0,78",170,620,< 20,312,"1,2","2,09","< 0,5","0,081",34,-
,,,,,,,,,,,,,,,,
"pizzas, tartes et crêpes salées","Pizza au fromage ou Pizza margherita, préemballée",239,"0,097","1,14","33,4","0,25",286,170,"< 4,5",493,"1,52","1,29","5,5","0,086",40,"0,55"
"pizzas, tartes et crêpes salées","Quiche lorraine, préemballée",116,"0,047","0,63",31,"0,097",145,164,< 10,503,"0,8","1,55","0,71","0,095","17,1","0,3"
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel jambon, préemballée",41,"0,1","0,73",5,"0,22","74,6",220,-,236,"0,88",-,-,-,-,-
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",105,"< 0,1","0,49","12,6","0,15",118,148,"5,06",466,"0,61","1,24","1,59","0,11","30,4","0,34"
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel champignon, préemballée","59,5",-,"0,3",-,-,-,260,-,333,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Tarte aux légumes, préemballée",104,"0,058",-,-,"0,13",-,242,"2,95",392,"0,62",-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza jambon fromage, préemballée",174,"< 0,1","0,7",6,"0,2",170,234,8,608,"1,4","1,1","1,45","0,2",17,"0,46"
"pizzas, tartes et crêpes salées","Tarte au fromage, préemballée",180,-,"0,54",-,-,151,110,-,427,-,"1,34","0,21","0,07","13,7","0,46"
"pizzas, tartes et crêpes salées","Tarte à la provençale, préemballée","62,5","< 0,1","0,63","8,7","0,2","80,8",140,"4,92",293,"0,5","1,54","4,25","0,1","14,7","0,22"
"pizzas, tartes et crêpes salées","Pizza à la viande, type bolognaise, préemballée",144,"0,21","1,36",-,"0,32",211,189,-,534,"1,87","0,92","4,2","0,14",29,"0,8"
"pizzas, tartes et crêpes salées",Burritos,88,"0,07","1,1",< 20,"0,14",170,260,< 50,299,"1,8","0,58","6,5","0,11","14,9","1,36"
"pizzas, tartes et crêpes salées",Fajitas,77,"0,06","0,55",< 20,"0,14",210,280,< 50,357,"0,66","0,93","19,6","0,24","23,4","0,42"
"pizzas, tartes et crêpes salées","Pizza au chorizo ou salami, préemballée",135,-,-,-,-,-,-,-,608,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza aux fruits de mer, préemballée",-,-,-,-,-,-,-,-,500,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza au saumon, préemballée",110,"0,09","0,54",< 20,"0,28",160,190,< 20,492,"0,84","1,68","< 0,5","0,093",15,"0,6"
"pizzas, tartes et crêpes salées","Pizza au chèvre et lardons, préemballée",136,-,-,-,-,-,-,-,590,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza aux légumes ou Pizza 4 saisons, préemballée",120,"0,1","0,61",< 20,"0,25",130,200,< 20,439,"0,92","0,73","1,52","0,099","25,8","0,3"
"pizzas, tartes et crêpes salées","Pizza champignons fromage, préemballée",-,-,-,-,-,-,-,-,450,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza 4 fromages, préemballée",267,-,"0,81","8,8",-,176,141,-,444,-,"1,08","3,64","0,15","52,9","0,28"
"pizzas, tartes et crêpes salées",Pizza (aliment moyen),196,,"0,78",11,,181,187,,509,,"1,11","3,37","0,16","35,2","0,39"
"pizzas, tartes et crêpes salées","Pissaladière, préemballée",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Tarte à l'oignon, préemballée",-,-,-,-,-,-,-,-,367,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",155,"0,1","0,7","11,2","0,25",174,211,"6,5",524,"1,16","1,18","4,84","0,17",31,"0,38"
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel fromage, préemballée","87,5",-,"0,35",-,-,162,118,-,404,-,"0,93","0,37","0,08","29,3","0,5"
"pizzas, tartes et crêpes salées","Flammenkueche ou Tarte flambée aux lardons, préemballée",52,"< 0,1","0,6",7,"0,2",102,230,< 5,654,"0,8","1,4","0,8","0,21",20,"0,44"
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée","35,3",-,"0,6",-,-,86,"86,6",-,260,-,"0,94","1,23","0,1","30,5","0,26"
"pizzas, tartes et crêpes salées","Tarte ou Tourte aux poireaux, préemballée",95,"0,06","0,6",< 20,"0,24",110,130,< 20,381,"0,66","1,28","< 0,5","0,06","87,1","0,45"
"pizzas, tartes et crêpes salées","Tarte au saumon, préemballée","59,2","< 0,1","0,63","12,4","0,2",111,162,"10,3",333,"0,42","1,47","1,83","0,17","20,1","0,73"
"pizzas, tartes et crêpes salées","Tourte au riesling, préemballée",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Tarte à la tomate, préemballée",21,"0,05","0,77",< 20,"0,33",64,280,< 20,318,"0,28","0,62","5,2","0,091","40,9","0,071"
"pizzas, tartes et crêpes salées","Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",240,"0,11","0,96",< 20,"0,24",280,190,< 20,445,"1,8","0,41","0,9","0,11","38,1","1,04"
"pizzas, tartes et crêpes salées","Tarte aux noix de Saint-Jacques, préemballée",-,-,-,-,-,-,-,-,449,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pastilla au poulet, préemballée",-,-,-,-,-,-,-,-,595,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza aux lardons, oignons et fromage, préemballée",192,-,-,-,-,-,-,-,570,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Crêpe ou Galette aux noix de St Jacques, préemballée",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"pizzas, tartes et crêpes salées",Tarte ou quiche salée (aliment moyen),"90,6","0,049","0,64","21,7","0,16",123,187,"6,01",479,"0,7","1,35","1,38","0,11",27,"0,31"
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",82,"0,07","0,43",< 20,"0,18",100,180,< 20,304,"0,53","1,88","< 0,5","0,027","31,7","0,21"
"pizzas, tartes et crêpes salées","Tarte au maroilles ou Flamiche au maroilles, préemballée",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",-,-,-,-,-,-,-,-,445,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Ficelle picarde, préemballée",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Tarte épinard chèvre, préemballée",79,"0,05","0,77",< 20,"0,32",98,180,< 20,393,"0,56","0,54","< 0,5","0,054","62,5","0,2"
"pizzas, tartes et crêpes salées","Tielle sétoise, préemballée",-,-,-,-,-,-,-,-,610,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza au thon, préemballée",-,-,-,-,-,-,-,-,397,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza kebab, préemballée",-,-,-,-,-,-,-,-,549,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza au poulet, préemballée",-,-,-,-,-,-,-,-,462,-,-,-,-,-,-
"pizzas, tartes et crêpes salées","Pizza type raclette ou tartiflette, préemballée",-,-,-,-,-,-,-,-,603,-,-,-,-,-,-
sandwichs,"Focaccia, garnie",-,-,-,-,-,-,-,-,585,-,-,-,-,-,-
sandwichs,"Fougasse, garnie","76,6","0,11","1,24",18,"0,39","88,9",177,"4,51",711,"0,95","1,22","0,1","0,1","16,8","0,074"
sandwichs,"Croque-monsieur, fait maison",249,"0,08","1,32",11,-,200,189,-,686,"1,34","0,55","0,02",0,-,-
sandwichs,"Hot-dog, préemballé",56,"0,08","0,85",< 20,"0,26",150,210,< 20,676,"1,1",1,"< 0,5","0,068","31,2","0,5"
sandwichs,"Hamburger, provenant de fast food",64,"0,08","1,23","16,9","0,22",110,251,< 10,492,"2,26","0,07","0,3","0,11",17,"1,2"
sandwichs,"Cheeseburger, provenant de fast food","91,3","< 0,1","1,2",15,"0,2",142,198,-,528,"2,1","0,09","0,4","0,37",7,"1,31"
sandwichs,"Double cheeseburger, provenant de fast food",104,"0,15","1,4",< 5,"0,2",161,184,"6,6",461,"2,9","1,35","0,9","0,2","28,9","0,99"
sandwichs,"Burger au poisson, provenant de fast food",55,"0,06","0,49",< 20,"0,25",140,210,< 20,440,"0,59","2,83","< 0,5","0,066","23,3","0,83"
sandwichs,"Sandwich grec ou Kebab, pita, crudités","33,6","0,2","0,95",3,"0,2",-,316,-,492,"1,8",-,-,-,-,-
sandwichs,"Sandwich grec ou Kebab, baguette, crudités","22,1","0,1","2,1","4,87","0,3",117,263,10,469,"2,05","0,2",2,"0,13",15,"0,88"
sandwichs,"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise","26,8","0,079","0,83","15,1","0,31",90,160,"11,3",514,"0,53","4,05","2,63","0,13",19,"0,63"
sandwichs,"Sandwich panini, jambon cru, mozzarella, tomates",97,-,"1,1",-,-,-,184,-,493,"1,3",-,-,-,-,-
sandwichs,"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre","24,6","0,093","0,97","7,66","0,3",108,186,"8,61",569,"0,84","0,43","5,77","0,13","22,8","0,16"
sandwichs,"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise","27,4","0,14","1,04","12,7","0,35","96,7",167,"9,39",557,"0,71","2,56","3,61","0,15","20,4","0,08"
sandwichs,"Sandwich baguette, jambon emmental, préemballé",-,-,-,-,-,-,-,-,635,-,-,-,-,-,-
sandwichs,"Sandwich baguette, saumon fumé, beurre","26,5","0,15","0,91","22,3","0,39",118,178,"11,2",742,"0,6","0,7","2,84","0,23","21,3","0,9"
sandwichs,"Sandwich baguette, thon, maïs, crudités, préemballé",-,-,-,-,-,-,-,-,410,-,-,-,-,-,-
sandwichs,Burger au poulet,66,"0,07","0,6",< 20,"0,25",170,220,< 20,463,"0,71","2,1","< 0,5","0,16","33,4","0,3"
sandwichs,Pan bagnat,"37,9","0,053","0,69","7,52","0,2","59,8",157,"3,83",428,"0,33","1,56","12,2","0,13","25,5","0,86"
sandwichs,"Sandwich baguette, jambon, beurre","54,6","0,11","0,95","5,63","0,55",152,171,"3,41",675,"1,22","0,4","3,09","0,17",17,"0,15"
sandwichs,"Sandwich baguette, camembert, beurre",137,"0,11","0,7","7,57","0,34",150,111,"4,02",670,"1,42","0,52",0,"0,13","40,4","0,68"
sandwichs,"Sandwich baguette, pâté, cornichons","26,2","0,26","2,49","5,59","0,36",119,143,"5,02",712,"1,17","0,36","1,67","0,14","37,8",1
sandwichs,"Sandwich baguette, saucisson, beurre","29,1","0,12","1,09","5,13","0,36",129,224,"3,56",828,"1,34","0,43",2,"0,24",18,"0,3"
sandwichs,"Sandwich baguette, jambon, emmental, beurre",188,"0,12","0,83","10,2","0,3",242,152,"5,03",614,"1,79","0,42","2,33","0,14","15,8","0,47"
sandwichs,Sandwich (aliment moyen),97,,"1,1",,,,184,,493,"1,3",,,,,
sandwichs,"Toasts ou Canapés salés, garnitures diverses, préemballés",153,"0,096","1,79","7,17","0,18",181,152,"3,77",445,"1,38","0,42","1,57","0,16","26,1","0,72"
sandwichs,"Sandwich baguette, crudités diverses, mayonnaise","26,6","0,092","0,87","14,9","0,31","75,9",153,"6,77",426,"0,54","2,88","7,02","0,092","31,1","0,13"
sandwichs,"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise","23,3","0,096","0,99",13,"0,3",108,174,"12,9",446,"0,97","3,14","3,11","0,16","19,5","0,32"
sandwichs,"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise","33,6","0,092","1,08","21,2","0,31",101,135,"8,6",457,"0,68","2,99","3,31","0,092",39,"0,3"
sandwichs,"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise","21,6","0,091","0,98","12,3","0,3",125,178,"10,4",449,1,"3,14","3,11","0,16","19,9","0,45"
sandwichs,"Sandwich baguette, merguez, ketchup moutarde","26,6","0,091","1,25","40,5","0,3",100,280,"6,68",851,"1,31","0,82","0,64","0,15","15,3","0,51"
sandwichs,"Sandwich baguette, salami, beurre","25,3","0,1","1,41","5,08","0,36",133,160,"6,85",1070,"1,39","0,31",0,"0,14","14,5","0,54"
sandwichs,Croque-madame,200,"0,069","1,27","16,1","0,2",189,154,"10,9",515,"1,1","0,78","0,014","0,035","17,4","0,55"
sandwichs,Sandwich baguette (aliment moyen),,,,,,,,,615,,,,,,
sandwichs,"Sandwich pain de mie, garnitures diverses, préemballé",-,-,-,-,-,-,-,-,463,-,-,-,-,-,-
sandwichs,"Croque-monsieur, préemballé",251,< 1,< 1,"11,1",< 1,259,189,"5,8",595,"1,6","0,6","1,7","< 0,05","23,1","0,39"
sandwichs,"Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé",-,-,-,-,-,-,-,-,557,-,-,-,-,-,-
sandwichs,"Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé",-,-,-,-,-,-,-,-,432,-,-,-,-,-,-
sandwichs,"Sandwich pain de mie complet, jambon, fromage, préemballé",205,-,-,-,-,-,-,-,525,-,-,-,-,-,-
sandwichs,"Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé",-,-,-,-,-,-,-,-,517,-,-,-,-,-,-
feuilletées et autres entrées,"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé",170,"< 0,1","1,3",-,"0,1",-,165,-,657,"1,4",-,-,-,-,-
feuilletées et autres entrées,"Samossa ou Samoussa, préemballé, cuit",31,"< 0,1","1,3",3,"0,4",95,182,"38,6",493,"0,87","1,45","0,7","0,13",20,"0,34"
feuilletées et autres entrées,Feuilleté au poisson et / ou fruits de mer,"39,4","< 0,1","0,4",50,"0,2",66,212,13,406,"0,42","1,38",0,"0,22",< 16,"0,77"
feuilletées et autres entrées,"Spécialité chinoise type bouchée à la vapeur, préemballée, cuite",-,-,-,-,-,-,-,-,540,-,-,-,-,-,-
feuilletées et autres entrées,"Feuilleté aux escargots, préemballé",-,-,-,-,-,-,-,-,491,-,-,-,-,-,-
feuilletées et autres entrées,Feuilleté ou Friand au fromage,119,"0,11","1,4","10,4","0,22",172,139,"1,4",632,"0,54","1,38","0,3","0,06",7,"0,5"
feuilletées et autres entrées,"Feuilleté ou Friand à la viande, préemballé","15,6","0,09","1,65","7,1","0,16","38,8",199,"5,63",610,"1,49",-,-,-,-,-
feuilletées et autres entrées,"Bouchée à la reine, à la viande/volaille/quenelle",40,"0,06","0,42",< 20,"0,19",86,170,< 20,498,"0,54","1,29","< 0,5","0,044","7,4","0,19"
feuilletées et autres entrées,Croissant au jambon,219,-,-,5,-,-,216,-,500,"1,7",-,-,-,-,-
feuilletées et autres entrées,Rouleau de printemps,"22,5","0,1","0,4",25,"0,15","14,9",87,5,116,"0,45","0,18","1,5","0,11",< 16,"0,16"
feuilletées et autres entrées,Nem ou Pâté impérial,25,"0,1","0,9",1,"0,2",67,160,"4,38",609,"0,62","0,82","< 0,5","0,12","23,1","0,22"
feuilletées et autres entrées,"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit","32,8","0,13","1,03","12,9","0,15",115,183,"9,35",565,"0,9","4,95","2,93","0,19","16,6","0,67"
feuilletées et autres entrées,"Bouchée à la reine, au poisson et fruits de mer","70,1","0,13","1,2","28,3","0,08","91,2",144,"4,95",451,"0,78","1,12","0,9","0,079","10,5","1,25"
feuilletées et autres entrées,Feuilleté ou Friand jambon fromage,115,"0,075","0,43","11,5","0,17",114,126,"2,29",512,"0,77","2,1","0,95","0,078","7,29","0,29"
feuilletées et autres entrées,"Beignet de viande, volaille ou poisson, fait maison, cru","36,6","0,073","1,23","34,3","0,082",180,272,"13,9",285,"1,61","2,91","0,27","0,24","15,8","1,13"
feuilletées et autres entrées,"Brick à l'oeuf, fait maison, cuit","70,7","0,05","1,4",31,"0,08",141,132,"9,6",538,"0,83",7,"3,6","0,1",92,"0,81"
feuilletées et autres entrées,Brick au boeuf,-,"0,06","5,2",15,"1,8",119,221,"3,6",1510,"1,53","6,6","3,1","0,16",23,"0,62"
feuilletées et autres entrées,"Brick à la pomme de terre, fait maison, cuit","26,4","0,07","0,6","5,9","0,11",54,252,"1,5",400,"0,26","7,7","8,8","0,19",21,"0,09"
feuilletées et autres entrées,Feuilleté salé (aliment moyen),"93,4","0,093","1,25","13,5","0,19",112,171,"4,25",574,"0,93","1,49","0,34","0,092","7,23","0,52"
feuilletées et autres entrées,"Bouchée à la reine, garnie (aliment moyen)","55,1","0,093","0,81","19,2","0,14","88,6",157,"7,48",475,"0,66","1,21","0,58","0,062","8,95","0,72"
feuilletées et autres entrées,"Nem ou Pâté impérial, au poulet, préemballé, cuit",29,"0,12",1,< 20,"0,29",96,220,< 20,477,"0,81","1,18","< 0,5","0,079","21,9","0,095"
feuilletées et autres entrées,"Nem ou Pâté impérial, au porc, préemballé, cuit",25,"0,12","0,91",< 20,"0,31",82,230,< 20,457,"0,79","2,33","< 0,5","0,08","32,3","0,18"
feuilletées et autres entrées,"Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit",47,"0,2","1,1",< 20,"0,35",89,180,< 20,480,"0,83","1,99","< 0,5","0,056","32,6","0,51"
feuilletées et autres entrées,"Croissant au jambon fromage, préemballé",117,-,-,-,-,-,-,-,510,-,-,-,-,-,-
légumes,"Avocat, pulpe, cru","9,4","0,18","0,34",< 20,"0,2",38,430,< 20,6,"0,43","2,23","< 0,5","0,17","70,4",0
légumes,"Bette ou blette, crue",25,"0,03","0,85",< 20,"0,16",10,300,< 20,"53,2","0,07","0,25","3,08","0,036","24,7",0
légumes,"Carotte, crue",25,"0,05","0,24",< 20,"0,1",22,230,< 20,43,"0,18","0,27","2,05","0,093","59,4",0
légumes,"Champignon, tout type, cru","7,78","0,32","0,69",1,"0,061","85,6",341,"< 2,78","4,76","0,65","0,01","3,4","0,082",29,0
légumes,"Salade ou chicorée frisée, crue",76,"0,2","0,85","0,4","0,42","37,5",367,1,"33,5","0,61","2,26","18,5","0,063",126,0
légumes,"Chou rouge, cru",36,"0,02","0,25",< 20,"0,12",30,260,< 20,14,"0,15","< 0,08","18,7","0,14","31,9",0
légumes,"Chou-fleur, cru",23,"0,02","0,27",< 20,"0,14",40,270,< 20,6,"0,22","< 0,08","4,14","0,22","56,2",0
légumes,"Concombre, pulpe et peau, cru","19,2","0,026","0,13","0,3","0,085","24,7",157,< 10,"4,8","0,095","0,09","8,25","0,037","12,3",0
légumes,"Courgette, pulpe et peau, crue","18,7","0,052","0,36","1,64","0,18","44,7",262,"0,58",9,"0,31","0,12","17,5","0,19",36,0
légumes,"Cresson de fontaine, cru",101,"0,11","0,9","13,5","0,37","64,2",320,-,"50,5","0,16",1,"51,5","0,13",9,0
légumes,"Céleri branche, cru",46,"0,03","0,06",< 20,"0,08",24,390,< 20,79,"0,09","< 0,08","5,51","0,052","56,8",0
légumes,"Endive, crue",20,"0,04","0,12",< 20,"0,08",23,150,< 20,< 5,"0,13","< 0,08","2,12","0,026","25,6",0
légumes,"Fenouil, cru",37,"0,08","0,2",< 20,"0,1",28,320,< 20,22,"0,19","< 0,08","2,57","0,05","19,6",0
légumes,"Laitue, crue","64,6","0,036","0,98","1,22","0,4","29,5",200,"2,33","8,47","0,2","0,18","11,8","0,09","43,5",0
légumes,"Oignon, cru",25,"< 0,0001","0,00019",< 10,"0,1",37,190,"2,3",39,"0,23","0,045","3,9","0,1","29,6",0
légumes,"Pissenlit, cru","62,3","0,067","3,1","0,4","0,16",66,397,"< 2,2","87,8","0,21","3,44","37,5","0,25",27,0
